問題番号,設問,正解,選択肢1,選択肢1解説,選択肢2,選択肢2解説,選択肢3,選択肢3解説,選択肢4,選択肢4解説,ドメイン
問題18,ある組織は、スプレッドシートに保存されている機密性の高い財務データを保護しようとしています。データの機密性と完全性を確保するのに最も効果的な方法は次のうちどれですか?,データ暗号化と電子透かし,データ暗号化と電子透かし,スプレッドシートのデータ暗号化と電子透かしにより、権限のない第三者がその内容を閲覧できないようにし、電子透かしにより、ドキュメントの信頼性と完全性を追跡および検証するための隠しマークが埋め込まれます。,パスワード保護と読み取り専用アクセス,パスワード保護はアクセスを制限し、読み取り専用アクセスは変更を防ぎますが、不正な復号化からデータの機密性を保証したり、あらゆる形式の改ざんに対するデータの完全性を検証したりすることはありません。,ネットワーク監視とファイアウォール,ネットワーク監視とファイアウォールは不正アクセスや攻撃から保護しますが、特定のスプレッドシートデータの機密性や整合性を直接保証するものではありません。,バージョン管理とバックアップ,バージョン管理とバックアップはデータ履歴の維持と回復に重要ですが、スプレッドシートの機密性を直接保証したり、完全性を検証したりするものではありません。,Security Architecture
問題21,セキュリティ専門家が、ネットワーク、クラウドサービス、サーバーなどのITコンポーネントの健全性とセキュリティの状態を総合的に把握したい場合、どのタイプの監視を優先すべきでしょうか？,インフラ監視,ログの集計,ログ集計は分析のためにログを収集するものであり、監視に使用されるツールですが、どのコンポーネント (システム、アプリケーション、またはインフラストラクチャ) が監視されているかを指定するものではありません。,システム監視,システム監視では、ハードウェア、オペレーティングシステム、およびアプリケーションが実行される重要なサービスは評価されますが、ITのより広範な基本的な構造は評価されません。,インフラ監視,インフラストラクチャの監視は、サーバー、データセンター、ネットワーク機器などの基本的な ITコンポーネントが機能し、安全であることを確認することに重点を置いています。,アプリケーションの監視,アプリケーションの監視は、個々のソフトウェアソリューションを監視し、そのセキュリティとパフォーマンスを確保することに関係します。,Security Operations
問題23,一般的に、ユーザー名、パスワードなどの情報がテスターに渡された上で行われる侵入テストは次のうちどれですか？,既知の環境,未知の環境,未知の環境での侵入テストは、テスターに情報が与えられないことを意味するため、偵察から開始する必要があります。,部分的に既知の環境,このタイプの侵入テストは、テスト担当者がターゲットシステムに関する一部の情報を利用できるものの、詳細がすべてわかっているわけではない環境で行われます。この環境のテスターは、偵察のフェーズを完了する必要があります。,既知の環境,既知の環境での侵入テストは、テスターに大量の情報が与えられていることを意味します。これには、パスワード、ユーザー名、その他の情報が含まれる場合があります。,偵察,偵察は侵入テストの初期段階であり、ターゲットに直接関与することなく情報収集とデータ収集が行われます。これは侵入テストの一種ではなく、準備段階です。,Security Program Management and Oversight
問題34,Kelly Innovations LLC は、ネットワークセキュリティと WAN 機能の両方を組み合わせた包括的なクラウドベースのソリューションについて検討を進めています。彼らは、特にメインオフィスの外にいるユーザーやデバイスに対し、シームレスに統合・接続するソリューションが必要であると考えています。次のテクノロジーのうち、導入を検討すべきなのはどれですか?,SASE(セキュアアクセスサービスエッジ),IPSecのトンネルモード,IPSecのトンネルモードは、安全でないネットワークを介したVPNゲートウェイ間の通信に使用されます。 IP パケット全体を暗号化しますが、包括的なネットワークセキュリティとWAN機能を組み合わせているわけではありません。,ESP (カプセル化セキュリティペイロード),ESP (カプセル化セキュリティペイロード) は機密性や認証、完全性を提供するIPSecの一部ですが、ネットワークセキュリティとWAN 機能は統合されていません。,SASE(セキュアアクセスサービスエッジ),SASE (セキュアアクセスサービスエッジ)は、ネットワークセキュリティとWAN機能を単一のクラウドベースのサービスに組み合わせ、ユーザーやデバイスの場所に関係なく、データとアプリケーションへの安全かつ信頼性の高いアクセスを確保する上での理想的なソリューションです。,SD-WAN,SD-WAN (ソフトウェア デファインドワイドエリアネットワーク) は、ネットワークパフォーマンスを最適化し、ネットワーク管理を一元化します。これはWAN接続を強化しますが、本質的にネットワークセキュリティとWAN機能を組み合わせたものではありません。,Security Architecture
問題50,Kelly Innovations LLCのEneiqueは、最近競合他社が被害に遭ったことを受け、ランサムウェア攻撃に対して懸念を抱いています。バックアップに対して多層防御による戦略を考案する際、どの側面を考慮することが重要でしょうか？,バックアップの暗号化,ファイル圧縮,ファイル圧縮によりストレージ領域は節約されますが、バックアップファイルを解読するランサムウェアに対する保護は提供されません。,バックアップの複製,複数のコピーを持つことは便利ですが、暗号化を行わないと、すべてのコピーが攻撃者によってアクセスされ、読み取られる可能性があります。,スケジュールされたバックアップ,バックアップのスケジューリングは重要ですが、暗号化されていない場合、コンテンツへのアクセスを防ぐことはできません。,バックアップの暗号化,バックアップを暗号化すると、攻撃者がバックアップデータにアクセスしたとしても、その内容を簡単に解読することができなくなります。これは、ランサムウェアがプライマリデータを暗号化し、バックアップが重要なリカバリポイントになる場合に特に重要になります。,Security Architecture
問題54,Johnは、サイバー攻撃が成功すると、重大な運用ダウンタイムとデータ復旧コストが発生し、総額約50万ドルに達する可能性があると判断されたレポートに対する検討を進めています。この潜在的なイベントの重大性を定量化する用語として最も適切なのはどれですか?,影響（インパクト）,確率,確率はリスク事象が発生する可能性を定量化しますが、事象の結果の重要度を測定するものではありません。,暴露係数,暴露係数(EF)は、リスクイベントによって資産が被る損失の割合を表すことにより、単一損失予想 (SLE)を算出するために使用されます。それ自体では、潜在的な結果の全体的な重大度を定量化するものではありません。,尤度・可能性,確率と同様、尤度はリスクイベントが発生する可能性を評価しますが、事象の結果の重要度を定量化するものではありません。,影響（インパクト）,影響（インパクト）とは、リスク事象が発生した場合の影響の大きさを指し、通常は財務上の損失、業務の中断、またはその他の損害の観点から評価されます。,Security Program Management and Oversight
問題55,日除けメーカーであるEclipse社のリスク管理チームのメンバーが、リスク管理に対する組織のアプローチについて議論しています。彼らは、CEO が設定した目標を達成するために、許容できるリスクのレベルを検討しています。彼らが検討していることは何と呼ばれますか?,リスク選好度,リスクの受容,リスク受容とは、組織が活動に伴うリスクのレベルを理解し、リスクを負った結果を喜んで受け入れることを意味します。リスクを受け入れるか受け入れないかのどちらかであり、リスク受け入れのレベルはありません。この場合、彼らは特定の活動のリスクのレベルについて決定を下しているわけではありません。,リスク許容度,リスク許容度は、組織が許容できるリスクのレベルをどの程度受け入れるかということです。これは、潜在的な損失や混乱に耐える組織の能力を表します。,リスク抑止,リスク抑止には、あるイベントの影響を軽減するための措置を講じることが含まれます。この場合、影響を評価したり、特定のイベントの可能性を減らすための措置を講じたりすることはありません。,リスク選好度,リスク選好度とは、組織がビジネス目標を達成するために組織がリスクを引き受ける程度を指します。これは、リスクに対する組織の戦略的アプローチと、特定の目標を達成するために組織がどの程度のリスクを引き受ける意思があるかを反映します。,Security Program Management and Oversight
問題62,組織の安全を確保する上での従業員の維持の重要性を最もよく説明しているのは次のどれですか?,従業員の維持は、セキュリティ自動化の管理に関する組織の知識と専門知識を維持するのに役立ちます,長期勤務する従業員はソーシャルエンジニアリング攻撃を発見して回避するためのトレーニングをさらに受けられるため、従業員の定着によりソーシャル エンジニアリング攻撃の可能性が減ります,従業員の雇用維持がソーシャルエンジニアリング攻撃の回避に影響を与えるという証拠はありません。,従業員の定着によって組織的な知識が得られ、セキュリティの自動化の管理が容易になります。従業員の定着率が高いため、自動化されたセキュリティ プロセスへの理解が深まり、応答時間が短縮されます,従業員の定着率が高いということは、従業員が組織に長く在籍しており、自動化されたセキュリティプロセスにより多くの経験を積んでいる人材がいることを意味します。これにより、セキュリティインシデントに対応する際の応答時間が短縮される可能性がありますが、組織の安全の確保という観点で最適な選択肢ではありません。,従業員の維持は、セキュリティ自動化の管理に関する組織の知識と専門知識を維持するのに役立ちます,従業員の維持とは、セキュリティの自動化とオーケストレーションの管理において貴重な組織的知識と専門知識を獲得した経験豊富なスタッフを組織が維持できることを意味します。この蓄積された知識は、これらのプロセスの円滑な機能と効果的な利用を保証するのに役立ちます。,従業員の定着により自動化やオーケストレーションの必要性が減り、労働力の安定化につながります,従業員の維持は、自動化やオーケストレーションの必要性とは直接関係ありません。また、従業員の定着率とは関係なく、安全な運用における自動化とオーケストレーションのメリットは一般論として効果的です。,Security Operations
問題64,次の内部活動のうち、組織がセキュリティ対策の適切性と規制基準の遵守を評価できるのはどれですか？,監査委員会,監査委員会,監査委員会は、組織の内部統制、財務報告、およびコンプライアンスのプロセスを監督および評価する責任を負います。これには、セキュリティ管理と規制遵守の有効性の評価が含まれます。,社内の自己評価,自己評価には、セキュリティ管理を含むさまざまな要件への準拠を測定するために組織が実施する内部評価が含まれます。ただし、この選択は監査委員会の役割に特に焦点を当てたものではありません。,認証,認証とは、コンプライアンス報告書の正確性と完全性を確認するプロセスを指します。これは、監査委員会によるセキュリティ管理とコンプライアンスの評価とは直接関係ありません。,内部コンプライアンス評価,コンプライアンスには通常、組織が確立された要件を遵守することが含まれます。これには、セキュリティ管理や規制上の義務が含まれる場合があります。ただし、監査委員会の評価における役割については特に言及されていません。,Security Program Management and Oversight
問題76,変化する脅威や脆弱性を常に最新の状態に保つために、定期的な評価を最も重視するのは次の評価方法のうちどれですか?,定期的なリスク評価,継続的なリスク評価,継続的なリスク評価には、組織の日常業務の一環としてリスクを継続的にリアルタイムで監視することが含まれます。新たなリスクを迅速に特定し、対処することを目的としています。これは有益ではありますが、特に定期的な間隔で定期評価が必要なわけではありません。,ワンタイムリスク評価,ワンタイムリスク評価は 1回だけ実行され、定期的なリスク評価は行われません。特定のプロジェクトや状況には適している場合がありますが、継続的なモニタリングには重点が置かれていません。,定期的なリスク評価,定期的なリスク評価には、時間の経過とともに変化する脅威や脆弱性に対応するために、定期的にリスク評価を実施することが含まれます。,アドホックなリスク評価,アドホックリスク評価とは、必要に応じて、または特定のイベントが評価の必要性を引き起こしたときにリスク評価を実施することを指します。変化する脅威や脆弱性に対応することに特に焦点を当てているわけではありません。,Security Program Management and Oversight
問題77,Kelly Financial Solutions は、毎日数千件のクレジットカード取引を処理します。セキュリティを強化するために、IT 部門は、クレジットカード番号などの機密データが、システムのメモリ内でアクティブに処理されている間でも確実に保護されるようにしたいと考えています。このシナリオで使用中のデータを保護するのに最も効果的な技術はどれですか?,準同型暗号化,仮想プライベート ネットワーク (VPN),VPNは2つのポイント間のネットワークトラフィックを暗号化し、転送中のデータのセキュリティを確保します。これは、システムのメモリ内でアクティブに処理されているデータを保護することには重点を置いていません。,準同型暗号化,準同型暗号化により、データを復号せずに処理できるため、使用中のデータが効果的に保護されます。計算は暗号化されたデータに対して直接実行でき、復号されたときの結果は、平文に対して操作が行われたかのように一致します。,フルディスク暗号化 (FDE),FDEは特にハードドライブや SSD上の保存データの保護には効果的ですが、使用中のデータを特に保護するわけではありません。,データ損失防止 (DLP),DLPソリューションはデータ転送を監視および制御し、データ漏洩の防止に役立ちます。ただし、メモリ内でアクティブに処理されているデータに対して特別な保護は提供されません。,Security Architecture
問題79,特定のリスクの発生頻度を予測する際に用いられる用語は何ですか?,確率,尤度・可能性,尤度とは、リスクが発生する可能性を表すために使用される定性的な用語で、通常は、低、中、または高という形で表現されます。,確率,確率は定量的な尺度であり、通常は0から1までの数値またはパーセンテージで表され、リスクイベントの統計的可能性（発生頻度）を示します。,暴露係数,暴露係数は、特定のリスクが実現した場合に発生する資産損失の割合を表します。これは定量的なリスク分析の指標です。,ARO,年間発生率 (ARO) は、特定のリスクが年間に発生すると予想される回数を表す定量的なリスク分析指標です。,Security Program Management and Oversight
問題84,仮想マシンが一つのCPUを共有していることを悪用して、他の仮想マシンからデータや通信にアクセスしたり、変更したりする脆弱性のタイプは次のうちどれですか？,リソースの再利用,リソースの再利用,リソースの再利用は、他の仮想マシン間の共有CPUを悪用することにより、他の仮想マシンからのデータや通信にアクセスしたり、変更したりする脆弱性の一種です。これにより、攻撃者が他の仮想マシン上で悪意のあるコードやコマンドを実行する可能性があります。,Time-of-check(TOC),Time-of-check (TOC) は競合状態の一種で、プロセスが使用前にリソースの状態または値をチェックし、その間に別のプロセスがそれを変更した場合に発生します。これは、古い情報に基づいて、誤ったアクションや不正なアクションが発生する可能性があります。,競合状態,競合状態とは、あるプロセスの結果が他のプロセスの実行のタイミングや順序に依存する状態のことです。リソースの性質と重要性に応じ、エラー、不整合、またはセキュリティ違反が発生する可能性があります。,CPU の枯渇,CPUの枯渇は、プロセスまたはスレッドがタスクを実行するのに十分な時間を得られない場合に発生する、パフォーマンス問題の一種です。プロセスまたはスレッドの応答性と機能に影響を与える可能性があります。,"Threats, Vulnerabilities, and Mitigations"
問題4,Dion TrainingのITマネージャーであるSashaは、最近策定した新しいセキュリティポリシーを導入し、従業員向けのトレーニングセッションを開始しました。彼女はまた、プログラムの有効性を評価するための資料を配布し、監視ツールの設定を行いました。Sashaはセキュリティ意識向上の活動のどのフェーズを実行していますか?,実行,最適化,最適化は実行後のフェーズであり、積極的な実装には直接関与せず、結果とフィードバックに基づいてセキュリティ意識向上プログラムを改良および強化することです。,実行,実行フェーズでは、セキュリティ意識向上のポリシーと手順が運用され、ユーザートレーニング、意識向上リソースの配布、意識向上の取り組みの有効性の監視などのアクションが含まれます。,フィードバック,フィードバックフェーズには、セキュリティポリシーの導入後にユーザーからの反応や応答を収集することが含まれますが、必ずしもアクティブなトレーニングやリソースの配布が含まれるわけではありません。,開始,開始フェーズは、潜在的なセキュリティ脅威が認識されているものの、まだポリシーや手順が策定・実装されていない最初の段階です。,"Threats, Vulnerabilities, and Mitigations"
問題34,先月、JamarioはKellyInnovationsLLCで、業界の競合他社を調査中に不適切な画像を受け取ったと報告しました。今後、従業員がそのようなメディアに誤ってアクセスすることを防ぐには、次の解決策のうちどれが最も効果的ですか?,コンテンツの分類を実装します,インターネットアクセスに2要素認証を導入します,2要素認証はログインのセキュリティを強化しますが、Webコンテンツの分類やフィルタリングは行いません。,より高速なインターネット接続にアップグレードします,インターネット接続が高速になるとブラウジング速度は向上しますが、Webコンテンツのフィルタリングや分類は行われません。,最先端のファイアウォールをインストールします,ファイアウォールは主にWebサイトのテーマ別コンテンツではなく、IPアドレスとポートに基づいてトラフィックをブロックまたは許可することに重点を置いています。,コンテンツの分類を実装します,コンテンツの分類により、全体的なテーマに基づいてWebサイトが体系的に分類され、Webコンテンツの不適切または無関係なカテゴリへのアクセスをブロックしやすくなります。,"Threats, Vulnerabilities, and Mitigations"
問題52,金融や医療などの特定の分野にわたるセキュリティ標準、規制、ガイドラインを確立および施行する組織を指す用語は次のどれですか?,規制当局,規制当局,規制当局は、セキュリティとコンプライアンスを確保するために、さまざまな分野の組織が従う必要があるルールと標準を作成および施行する権限を持っています。,データ保護当局,データ保護当局は個人データに関する規制を施行していますが、複数の分野にわたって広範なセキュリティ基準を設定しているわけではありません。,法執行機関,法執行機関は法律を執行し、犯罪を捜査しますが、通常は業界標準を設定しません。,諜報機関,諜報機関は、国家安全保障に関連する情報を収集および分析しますが、業界に対するセキュリティ基準を確立しているわけではありません。,Security Architecture
